experiment_index,phi_Rb87_rad,phi_Rb85_rad,dphi_rad
376,0.3913501185283401,0.19703763641352978,-0.19431248211480678
377,-2.8859188977208383,2.1154511241525036,-1.2818152853062337
378,1.5571814020250123,1.7979936546577981,0.24081225263278228
379,1.8696950753079769,1.1908829323275718,-0.6788121429804015
380,-2.2399905444465524,-2.61425700537907,-0.3742664609325139
381,0.8001219668890549,-0.06257517205211727,-0.8626971389411686
382,2.9675797909241304,1.877009948134603,-1.090569842789531
383,-2.116630994885231,1.827631549130448,-2.338922763163904
384,-1.7565396273114793,-2.7260333795007945,-0.9694937521893188
385,-2.414347669964453,-3.0478852242661993,-0.6335375543017499
386,1.104338365434156,1.5067451685284148,0.40240680309425514
387,-3.141043931620377,-3.1024640879096985,0.03857984371068213
388,2.8483226386945013,2.1820748049166845,-0.6662478337778133
389,2.4891016209976478,1.4722553572542658,-1.0168462637433855
390,-2.2613464322650607,-2.0918307540437446,0.16951567822131963
391,-2.0149705474347392,3.0958622448458435,-1.172352514899
392,-2.479267162904538,-2.4439027509254494,0.035364411979092125
393,-1.7586714757944257,-1.6757516036859492,0.08291987210848006
394,0.3775666144712382,-0.5812335996898774,-0.958800214161112
395,0.9914218011482241,-0.07945401641887528,-1.0708758175670958
396,1.933071624547555,0.6794308372799982,-1.2536407872675532
397,1.7198822681560593,2.8171296801554853,1.0972474119994224
398,0.9700211282698952,-0.6002468478129366,-1.5702679760828282
399,0.6946414537177539,0.15606227837284692,-0.5385791753449034
400,-0.17495821461713135,0.27474096287236094,0.44969917748949584
401,2.4809297961208863,-2.8200915876152415,0.982163923443462
402,-1.5172514477629413,-2.088051321023574,-0.5707998732606363
403,0.9226702669398641,1.0766793463546342,0.1540090794147666
404,0.4208810547021393,-0.9927590415981591,-1.4136400963002949
405,-2.80697335296124,-2.9840375316643666,-0.17706417870313018
406,-2.5969908991830444,2.9945215112723353,-0.6916728967241959
407,-0.448215977190511,-0.3967056376547866,0.05151033953572792
408,1.273213988015538,1.0567286742072248,-0.2164853138083167
409,2.9429082635723596,2.014201302280032,-0.9287069612923311
410,-1.655338673291336,-1.1660675041733377,0.48927116911800184
411,2.6958792843085213,1.6141701213439923,-1.0817091629645255
412,-3.0181459021341475,-2.5333623186598437,0.4847835834743002
413,2.63649550369912,2.423914801066754,-0.21258070263236206
414,3.095702845227901,-2.882470993917533,0.3050114680341487
415,0.964334382797734,0.1395196542463033,-0.8248147285514271
416,3.0075169403814392,3.0462919016115926,0.038774961230149785
417,0.9251880464344602,0.565880631607687,-0.35930741482676964
418,-2.131349452450994,2.978487606613765,-1.1733482481148165
419,0.10706285371144375,-0.6689111795643008,-0.775974033275741
420,2.7136225037264374,2.569716841694511,-0.1439056620319228
421,1.8999846722610876,0.1391027939712366,-1.7608818782898474
422,-2.479965615378706,1.618691227183124,-2.1845284646177525
423,-0.5673433276089348,-2.0942206670719123,-1.526877339462981
424,-0.8906877154891468,-0.9556074824353367,-0.06491976694618629
425,2.263747077424977,1.6980341707750135,-0.56571290664996
426,-0.5932777113380574,-1.550360401308037,-0.957082689969976
427,-2.0149928599389177,-2.9933173605833225,-0.9783245006444012
428,1.2906528310615109,-0.40407883132618494,-1.6947316623876922
429,1.1016514748476247,0.24075802949571212,-0.8608934453519161
430,1.5669102340193497,0.35353921642657227,-1.2133710175927739
431,-0.3599446153304733,-1.1284727431773938,-0.7685281278469169
432,-0.34048484894170983,-1.547409348498757,-1.2069244995570436
433,2.207713945055378,2.2270018517714085,0.019287906716034087
434,0.7524066664686195,-0.1430701505762748,-0.8954768170448908
435,-1.6295195577699353,-3.0132610662151613,-1.3837415084452225
436,2.811775032005155,1.9852866144593584,-0.8264884175458
437,-0.3905909307987905,-2.012803291194462,-1.6222123603956753
438,-0.9508127309394432,-2.5414001774226485,-1.5905874464832088
439,3.051430428340513,2.504763396697836,-0.5466670316426807
440,3.0053129214438563,2.460586624358367,-0.5447262970854858
441,3.079280241790645,2.4298280746477197,-0.6494521671429219
442,1.4628614378770841,0.7475099355817498,-0.7153515022953307
443,2.1606584736225365,1.0441258953646049,-1.116532578257928
444,1.9798585298009392,0.8480608882738814,-1.1317976415270543
445,0.0008262964168928022,-0.8471620196987111,-0.8479883161156003
446,-2.817041739157826,-2.0096303981222654,0.8074113410355643
447,-1.099443762619014,-2.3230667170681762,-1.2236229544491657
448,2.3845957114501495,2.2434893329259786,-0.1411063785241673
449,2.147279594192046,1.6597793673697616,-0.4875002268222879
450,-1.63136676383429,-1.8814983850205458,-0.2501316211862523
451,0.5045919129542575,-0.029540067440503748,-0.5341319803947577
452,2.765564998312197,0.452847225392663,-2.3127177729195374
453,-1.4719767373120867,-1.8684077744022254,-0.39643103709013516
454,0.2233202785387114,0.18152259895932232,-0.041797679579385516
455,3.049102245170321,2.739199768440198,-0.3099024767301266
456,1.4844247991739614,0.5155909055137222,-0.9688338936602428
457,-1.0533764923645883,-0.5747393246429588,0.478637167721633
458,-1.3974327067701715,-1.6531508647726376,-0.25571815800246256
